id,date,commodity_group,commodity_id,commodity,zone,centre_id,centre,price
7985134,07-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
7977339,06-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
7508331,02-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
7991779,08-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
7504009,01-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
7515445,03-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
7522972,04-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
7530395,05-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
7571430,11-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7552244,08-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
7556834,09-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
7563748,10-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
7537960,06-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
7545450,07-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
7600683,15-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7586784,13-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7594618,14-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7579077,12-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7644723,21-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7628712,19-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7636716,20-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7605335,16-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7612627,17-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7620647,18-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7657174,23-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7687163,27-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7673273,25-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7681495,26-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7665136,24-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7708164,30-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7695477,28-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7702662,29-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
7741293,03-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,36
7716473,31-01-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,38
7724783,01-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,38
7733038,02-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,36
7756901,05-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,36
7749533,04-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,36
7762225,06-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,36
7786648,09-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7770260,07-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,36
7778401,08-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7795086,10-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7815649,13-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7803560,11-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7810443,12-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7857221,18-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7824035,14-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7832359,15-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7840582,16-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7848842,17-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7869096,20-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7863570,19-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7910662,25-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7885659,22-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7893959,23-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7902373,24-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7877283,21-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7923037,27-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7917883,26-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7939472,01-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
7931228,28-02-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7955935,03-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
7947721,02-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8019350,12-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
8012590,11-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
7964171,04-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
7971768,05-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
7996793,09-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
8004134,10-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
8024794,13-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
8041932,15-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
8033425,14-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
8067517,18-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
8050297,16-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
8058898,17-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
8080819,20-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
8075372,19-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
8089451,21-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
8105886,23-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,38
8097928,22-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,35
8136106,27-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,38
8122861,25-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,38
8130564,26-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,38
8114125,24-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,38
8153665,29-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8144743,28-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,38
8186168,02-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8178524,01-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8162469,30-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8169657,31-03-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8191679,03-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8200025,04-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8217120,06-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8208406,05-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8288923,15-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8225924,07-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8232738,08-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8245501,10-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8254576,11-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8272594,13-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8281869,14-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8239772,09-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8263428,12-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8296508,16-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8354645,23-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8302207,17-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8311412,18-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8330239,20-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8339589,21-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8348523,22-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8320855,19-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8396974,28-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8369689,25-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8378676,26-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8360392,24-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8387760,27-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8419776,01-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8414271,30-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8406135,29-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8436882,03-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8427693,02-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8446349,04-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8463913,06-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8455532,05-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8472273,07-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8505863,11-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8486952,09-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8496349,10-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8478129,08-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8524514,13-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8515008,12-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8531795,14-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8585339,20-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8537901,15-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8556616,17-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8547096,16-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,37
8566352,18-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8575901,19-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8593679,21-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8599597,22-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8627278,25-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
8617703,24-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8608425,23-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8669502,30-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,38
8646213,27-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
8654110,28-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
8659950,29-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
8636648,26-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
8716812,04-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8688527,01-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8708035,03-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8679001,31-05-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,38
8698262,02-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8780187,11-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
8722961,05-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8732672,06-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8742580,07-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
8752552,08-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
8762546,09-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
8772416,10-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
8796441,13-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8786531,12-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,41
8806425,14-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8835343,17-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8816021,15-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8825539,16-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8859889,20-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8850086,19-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8843994,18-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8889050,23-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8869268,21-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8879205,22-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8923169,27-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8907279,25-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8898956,24-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8913597,26-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
9018220,23-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8949905,30-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,40
8959590,01-07-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,40
9012098,22-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
8933065,28-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,40
8942642,29-06-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,40
8968227,02-07-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,40
8974724,03-07-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,40
8984430,19-04-2023,Grains & Pulses,1,Atta (Wheat),South Zone,37,Chennai,39
